id,director,cast
11448,Woody Allen,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter']"
49133,Gianni Amelio,"['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani']"
26441,Holly Goldberg Sloan,"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']"
97406,Ulu Grosbard,"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine']"
124057,Robert Tinnell,"['Johnny Morina', 'Malcolm McDowell', 'Maggie Castle']"
9089,Jodie Foster,"['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft']"
11010,Michael Radford,"['Philippe Noiret', 'Massimo Troisi', 'Maria Grazia Cucinotta']"
99040,Robert Lepage,"['Lothaire Bluteau', 'Patrick Goyette', 'Jean-Louis Millette']"
11359,Frank Oz,"['Hal Scardino', 'Litefoot', 'Lindsay Crouse']"
17182,John Schlesinger,"['Sally Field', 'Kiefer Sutherland', 'Ed Harris']"
2054,Stephen Herek,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']"
10607,Paris Barclay,"['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones']"
19760,Bill Bennett,"['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto']"
9536,Jason Bloom,"['Pauly Shore', 'Stephen Baldwin', 'Joey Lauren Adams']"
11525,Farhad Mann,"['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien""]"
40628,James Foley,"['Jerry Barone', 'Al Pacino', 'Mary Elizabeth Mastrantonio']"
4482,Josiane Balasko,"['Victoria Abril', 'Josiane Balasko', 'Alain Chabat']"
10634,F. Gary Gray,"['Ice Cube', 'Chris Tucker', 'Nia Long']"
755,Robert Rodriguez,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel']"
11859,Andrew Sipes,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']"
28387,Noah Baumbach,"['Josh Hamilton', ""Olivia d'Abo"", 'Carlos Jacott']"
48750,Claude Lelouch,"['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines']"
20927,Michael Goldenberg,"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon']"
36929,Steve Miner,"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips']"
9102,Christian Duguay,"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin']"
124626,Susanne Ofteringer,"['Nico', 'Tina Aumont', 'Jackson Browne']"
27526,Sean Penn,"['Jack Nicholson', 'David Morse', 'Anjelica Huston']"
9623,Brian Gibson,"['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']"
46785,Jafar Panahi,"['Aida Mohammadkhani', 'Mohsen Kafili', 'Fereshteh Sadre Orafaiy']"
400,Gary Fleder,"['Andy García', 'Christopher Lloyd', 'William Forsythe']"
880,Marleen Gorris,"['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen']"
146599,Tim Reid,"['Al Freeman, Jr.', 'Phylicia Rashād', 'Paula Kelly']"
188588,Henry Jaglom,"['Victoria Foyt', 'Viveca Lindfors', 'Jon Robin Baitz']"
8447,Philip Haas,"['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit']"
10534,Ridley Scott,"['Jeff Bridges', 'Caroline Goodall', 'John Savage']"
17414,Ken Kwapis,"['Jason Alexander', 'Faye Dunaway', 'Eric Lloyd']"
13997,Penelope Spheeris,"['Chris Farley', 'David Spade', 'Grant Heslov']"
2086,John Badham,"['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton']"
61548,John Duigan,"['Jason Patric', 'Thandie Newton', 'Larry Drake']"
9095,Stephen Frears,"['Julia Roberts', 'John Malkovich', 'George Cole']"
12158,Wes Craven,"['Eddie Murphy', 'Angela Bassett', 'Allen Payne']"
9283,Ted Demme,"['Matt Dillon', 'Noah Emmerich', 'Annabeth Gish']"
9208,John Woo,"['John Travolta', 'Christian Slater', 'Samantha Mathis']"
40154,Kenneth Branagh,"['Richard Briers', 'Joan Collins', 'Michael Maloney']"
406,Mathieu Kassovitz,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']"
45549,Paul W.S. Anderson,"['Sadie Frost', 'Jude Law', 'Sean Pertwee']"
63076,Nick Broomfield,"['Nick Broomfield', 'Heidi Fleiss', 'Madam Alex']"
11062,Harold Becker,"['Al Pacino', 'John Cusack', 'Bridget Fonda']"
13685,Wes Anderson,"['Luke Wilson', 'Owen Wilson', 'Lumi Cavazos']"
47475,Nick Castle,"['Ellen DeGeneres', 'Bill Pullman', 'Joan Cusack']"
2045,John Dahl,"['Ray Liotta', 'Linda Fiorentino', 'Peter Coyote']"
9614,Dennis Dugan,"['Adam Sandler', 'Ben Stiller', 'Christopher McDonald']"
688,Clint Eastwood,"['Meryl Streep', 'Clint Eastwood', 'Annie Corley']"
11907,Doris Dörrie,"['Maria Schrader', 'Pierre Sanoussi-Bliss', 'Michael von Au']"
10874,Brian Henson,"['Tim Curry', 'Kevin Bishop', 'Jennifer Saunders']"
89333,Robert Leacock,"['Christy Turlington', 'Azzedine Alaïa', 'Giorgio Armani']"
96357,James Bruce,"['Raymond J. Barry', 'Rustam Branaman', 'Jennifer MacDonald']"
197,Mel Gibson,"['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau']"
103,Martin Scorsese,"['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel']"
33542,Stanley Tong,"['Jackie Chan', 'Anita Mui', 'Françoise Yip']"
43566,Barbet Schroeder,"['Meryl Streep', 'Liam Neeson', 'Edward Furlong']"
71754,Mort Ransen,"['Helena Bonham Carter', 'Clive Russell', 'Craig Olejnik']"
43612,Étienne Chatiliez,"['Michel Serrault', 'Eddy Mitchell', 'Sabine Azéma']"
51352,Jon Blair,"['Kenneth Branagh', 'Glenn Close']"
16934,Benjamin Ross,"['Tobias Arnold', 'Ruth Sheen', 'Roger Lloyd Pack']"
10324,Eric Schaeffer,"['Sarah Jessica Parker', 'Elle Macpherson', 'Scarlett Johansson']"
78406,Andrew Davis,"['Andy García', 'Alan Arkin', 'Rachel Ticotin']"
55731,Charles T. Kanganis,"['Halle Berry', 'Jim Belushi', 'Casey Affleck']"
32119,John N. Smith,"['Henry Czerny', 'Johnny Morina', 'Brian Dooley']"
11066,Reginald Hudlin,"['Eddie Murphy', 'Robin Givens', 'Halle Berry']"
11104,Wong Kar-wai,"['Brigitte Lin', 'Tony Leung Chiu-Wai', 'Faye Wong']"
37975,Giuseppe Tornatore,"['Sergio Castellitto', 'Tiziana Lodato', 'Franco Scaldati']"
2074,David O. Russell,"['Ben Stiller', 'Patricia Arquette', 'Téa Leoni']"
27793,Peter MacDonald,"['Jason James Richter', 'Melody Kay', 'Kevin McNulty']"
44284,Moufida Tlatli,"['Amel Hedhili', 'Najia Ouerghi', 'Fatima Ben Saïdane']"
290157,Michel Negroponte,['Maggie Cogan']
110972,Bryan Gordon,"['Josh Charles', 'Anne Heche', 'John Goodman']"
32622,Rebecca Miller,"['Miranda Rhyne', 'Charlotte Eve Blythe', 'Anna Levine']"
73067,Michael Lindsay-Hogg,"['Matt Dillon', 'Corban Walker', 'Gabriel Byrne']"
11863,William Friedkin,"['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri']"
55475,Ángel Muñiz,"['Luisito Marti', 'Alfonso Zayas', 'Caridad Ravelo']"
124636,Craig Baldwin,"['Lloyd Dunn', 'Chris Grigg', 'Mark Hosler']"
9101,David S. Ward,"['Kelsey Grammer', 'Lauren Holly', 'Rob Schneider']"
123360,Mark Rappaport,"['Jean Seberg', 'Mary Beth Hurt']"
5757,Dirk Shafer,"['Dirk Shafer', 'Mary Stein', 'Claudette Sutherland']"
39428,Terence Davies,"['Jacob Tierney', 'Drake Bell', 'Gena Rowlands']"
124639,Sandip Ray,[]
9302,Jon Avnet,"['Robert Redford', 'Michelle Pfeiffer', 'Stockard Channing']"
11000,Mike Nichols,"['Robin Williams', 'Gene Hackman', 'Nathan Lane']"
249882,Jakov Sedlar,"['Martin Sheen', 'Michael York', 'Morgan Fairchild']"
16388,Edward Burns,"['Shari Albert', 'Maxine Bahns', 'Catharine Bolz']"
9737,Michael Bay,"['Will Smith', 'Martin Lawrence', 'Téa Leoni']"
30765,Christopher Cain,"['Stephen Lang', 'Ryan Slater', 'Yi Ding']"
10474,Scott Kalvert,"['Leonardo DiCaprio', 'Lorraine Bracco', 'James Madio']"
22279,Mike Newell,"['Alan Rickman', 'Hugh Grant', 'Georgina Cates']"
30157,Hal Hartley,"['Isabelle Huppert', 'Martin Donovan', 'Elina Löwensohn']"
568,Ron Howard,"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']"
11780,Michael Caton-Jones,"['Liam Neeson', 'Jessica Lange', 'John Hurt']"
34996,Abel Ferrara,"['Lili Taylor', 'Christopher Walken', 'Annabella Sciorra']"
414,Joel Schumacher,"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey']"
649,Luis Buñuel,"['Catherine Deneuve', 'Michel Piccoli', 'Jean Sorel']"
1873,John Boorman,"['Patricia Arquette', 'Frances McDormand', 'U Aung Ko']"
5894,Paul Auster,"['Harvey Keitel', 'Lou Reed', 'Michael J. Fox']"
1775,Michael Moore,"['John Candy', 'Alan Alda', 'Rhea Perlman']"
8839,Brad Silberling,"['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty']"
20649,Spike Lee,"['Harvey Keitel', 'John Turturro', 'Delroy Lindo']"
10329,Frank Marshall,"['Laura Linney', 'Dylan Walsh', 'Ernie Hudson']"
8963,Tony Scott,"['Denzel Washington', 'Gene Hackman', 'Matt Craven']"
26564,Terry Zwigoff,"['Robert Crumb', 'Aline Kominsky', 'Charles Crumb']"
8068,Robert Rodriguez,"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']"
8512,Carl Franklin,"['Denzel Washington', 'Tom Sizemore', 'Jennifer Beals']"
1572,John McTiernan,"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']"
13552,Gregg Araki,"['Rose McGowan', 'James Duval', 'Johnathon Schaech']"
259209,Christopher Menaul,"['Embeth Davidtz', 'Tom Bell', 'Gemma Jones']"
6520,Jerry Zucker,"['Sean Connery', 'Richard Gere', 'Julia Ormond']"
9073,Dwight H. Little,"['Jason James Richter', 'Michael Madsen', 'Jayne Atkinson']"
10428,Iain Softley,"['Jonny Lee Miller', 'Angelina Jolie', 'Jesse Bradford']"
17447,Christopher Ashley,"['Steven Weber', 'Patrick Stewart', 'Michael T. Weiss']"
9886,Robert Longo,"['Keanu Reeves', 'Dina Meyer', 'Takeshi Kitano']"
9482,Danny Cannon,"['Sylvester Stallone', 'Diane Lane', 'Armand Assante']"
19326,John Fortenberry,"['Pauly Shore', 'Tia Carrere', 'Stanley Tucci']"
9344,Larry Clark,"['Leo Fitzpatrick', 'Rosario Dawson', 'Chloë Sevigny']"
9071,Tom DiCillo,"['Steve Buscemi', 'Catherine Keener', 'Dermot Mulroney']"
8973,Clive Barker,"['Scott Bakula', ""Kevin J. O'Connor"", 'Famke Janssen']"
15730,Denys Arcand,"['Thomas Gibson', 'Ruth Marshall', 'Cameron Bancroft']"
47608,Antonia Bird,"[""Chris O'Donnell"", 'Drew Barrymore', 'Matthew Lillard']"
2293,Kevin Smith,"['Jason Lee', 'Jeremy London', 'Shannen Doherty']"
9070,Bryan Spicer,"['Amy Jo Johnson', 'Jason David Frank', 'David Yost']"
68274,David Anspaugh,"['Elizabeth Perkins', 'Gwyneth Paltrow', 'Kathleen Turner']"
48787,Anthony Waller,"['Marina Zudina', 'Fay Ripley', 'Evan Richards']"
34574,Michael Almereyda,"['Elina Löwensohn', 'Peter Fonda', 'David Lynch']"
1642,Irwin Winkler,"['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller']"
11472,Chris Columbus,"['Hugh Grant', 'Julianne Moore', 'Tom Arnold']"
36196,Daisy von Scherler Mayer,"['Parker Posey', 'Liev Schreiber', 'Anthony DeSando']"
11980,Gregory Widen,"['Christopher Walken', 'Elias Koteas', 'Virginia Madsen']"
58372,Norman René,"['Mia Farrow', 'Tony Goldwyn', 'Scott Glenn']"
32646,Todd Haynes,"['Julianne Moore', 'Xander Berkeley', 'Dean Norris']"
10533,Roland Joffé,"['Demi Moore', 'Gary Oldman', 'Robert Duvall']"
56088,,"['Kurtis Blow', 'Sean Combs', 'Snoop Dogg']"
10802,Paul Verhoeven,"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon']"
10149,Wayne Wang,"['Harvey Keitel', 'William Hurt', 'Giancarlo Esposito']"
18402,Lasse Hallström,"['Julia Roberts', 'Dennis Quaid', 'Robert Duvall']"
9348,Roger Donaldson,"['Natasha Henstridge', 'Ben Kingsley', 'Michael Madsen']"
139408,James Keach,"['Robert Duvall', 'Aidan Quinn', 'Frances Fisher']"
281,Kathryn Bigelow,"['Ralph Fiennes', 'Angela Bassett', 'Tom Sizemore']"
5967,Jacques Demy,"['Catherine Deneuve', 'Nino Castelnuovo', 'Anne Vernon']"
79593,Wesley Strick,"['Daryl Hannah', 'Keith Carradine', 'Moira Kelly']"
47939,Martha Coolidge,"['Patrick Swayze', 'Mary Elizabeth Mastrantonio', 'Joseph Mazzello']"
36834,Agnieszka Holland,"['Leonardo DiCaprio', 'David Thewlis', 'Romane Bohringer']"
9090,Beeban Kidron,"['Patrick Swayze', 'Wesley Snipes', 'John Leguizamo']"
3512,Geoff Murphy,"['Steven Seagal', 'Eric Bogosian', 'Everett McGill']"
52856,Diane Keaton,"['Andie MacDowell', 'John Turturro', 'Michael Richards']"
77350,Douglas Keeve,"['Sandra Bernhard', 'Isaac Mizrahi', 'Naomi Campbell']"
9560,Alfonso Aráu,"['Keanu Reeves', 'Aitana Sánchez-Gijón', 'Anthony Quinn']"
9804,Kevin Reynolds,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']"
31611,Desmond Nakano,"['John Travolta', 'Harry Belafonte', 'Kelly Lynch']"
65796,Walter Hill,"['Jeff Bridges', 'Ellen Barkin', 'John Hurt']"
49805,Mike Figgis,"['Albert Finney', 'Greta Scacchi', 'Matthew Modine']"
26258,Greg Beeman,"['Daniel Stern', 'Jon Polito', 'Brad Sullivan']"
50797,Nikita Mikhalkov,"['Nikita Mikhalkov', 'Oleg Menshikov', 'Ingeborga Dapkunaite']"
19155,Milčo Mančevski,"['Katrin Cartlidge', 'Rade Serbedzija', 'Grégoire Colin']"
76,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']"
11017,Tamra Davis,"['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson']"
37141,Guy Ferland,"['Alicia Silverstone', 'Jeremy London', 'J.T. Walsh']"
9382,Herbert Ross,"['Whoopi Goldberg', 'Mary-Louise Parker', 'Drew Barrymore']"
6715,Peter Horton,"['Brad Renfro', 'Joseph Mazzello', 'Annabella Sciorra']"
18256,Stuart Gordon,"['Jeffrey Combs', 'Barbara Crampton', 'Jonathan Fuller']"
22625,Pat O'Connor,"[""Chris O'Donnell"", 'Minnie Driver', ""Geraldine O'Rawe""]"
2292,Kevin Smith,"[""Brian O'Halloran"", 'Jeff Anderson', 'Jason Mewes']"
1909,Jeremy Leven,"['Johnny Depp', 'Marlon Brando', 'Faye Dunaway']"
8984,Barry Levinson,"['Michael Douglas', 'Demi Moore', 'Donald Sutherland']"
61813,René Bonnière,"['Patsy Kensit', 'Bruce Greenwood', 'Andrew McCarthy']"
4954,John Badham,"['Wesley Snipes', 'Gary Busey', 'Yancy Butler']"
62488,Jack Baran,"['Dylan McDermott', 'Nancy Travis', 'James Le Gros']"
10531,Roman Polanski,"['Sigourney Weaver', 'Ben Kingsley', 'Stuart Wilson']"
11929,Taylor Hackford,"['Kathy Bates', 'Jennifer Jason Leigh', 'Judy Parfitt']"
8467,Peter Farrelly,"['Jim Carrey', 'Jeff Daniels', 'Lauren Holly']"
10451,Ang Lee,"['Sihung Lung', 'Yu-Wen Wang', 'Jacklyn Wu ']"
20156,Atom Egoyan,"['Bruce Greenwood', 'Mia Kirshner', 'Elias Koteas']"
18395,Garry Marshall,"['Dana Delany', 'Paul Mercurio', ""Rosie O'Donnell""]"
522,Tim Burton,"['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker']"
397,Lawrence Kasdan,"['Meg Ryan', 'Kevin Kline', 'Timothy Hutton']"
10525,Billy Crystal,"['Billy Crystal', 'Debra Winger', 'Joe Mantegna']"
27985,Phillip Borsos,"['Mimi Rogers', 'Jesse Bradford', 'Bruce Davison']"
15789,Kevin Lima,"['Bill Farmer', 'Jason Marsden', 'Rob Paulsen']"
27303,Brett Leonard,"['Jeff Goldblum', 'Christine Lahti', 'Alicia Silverstone']"
21183,Carlo Carlei,"['Samuel L. Jackson', 'Matthew Modine', 'Nancy Travis']"
10954,Gérard Corbiau,"['Stefano Dionisi', 'Enrico Lo Verso', 'Elsa Zylberstein']"
47867,Mark Lewis,"['Ted Manson', 'Afemo Omilami']"
43475,Art Clokey,[]
72031,Charles Burnett,"['Ice Cube', 'Lori Petty', 'Erich Anderson']"
14275,Steve James,"['William Gates', 'Arthur Agee', 'Steve James']"
1024,Peter Jackson,"['Melanie Lynskey', 'Kate Winslet', 'Sarah Peirse']"
17207,Randall Miller,"['Sinbad', 'Phil Hartman', 'Jeffrey Jones']"
13701,Bernard Rose,"['Gary Oldman', 'Jeroen Krabbé', 'Isabella Rossellini']"
14819,Steven Brill,"['Ben Stiller', 'Aaron Schwartz', 'Kenan Thompson']"
32631,J. F. Lawton,"['Christopher Lambert', 'John Lone', 'Joan Chen']"
11777,Fred Schepisi,"['Tim Robbins', 'Meg Ryan', 'Walter Matthau']"
628,Neil Jordan,"['Brad Pitt', 'Tom Cruise', 'Kirsten Dunst']"
87729,James Ivory,"['Nick Nolte', 'Greta Scacchi', 'Thandie Newton']"
18713,James Melkonian,"['John G. Brennan', 'Kamal Ahmed', 'Alan Arkin']"
6280,Ivan Reitman,"['Arnold Schwarzenegger', 'Danny DeVito', 'Emma Thompson']"
9061,Arne Glimcher,"['Sean Connery', 'Laurence Fishburne', 'Blair Underwood']"
37108,Michael Gottlieb,"['Thomas Ian Nicholas', 'Joss Ackland', 'Art Malik']"
6071,Barbet Schroeder,"['David Caruso', 'Samuel L. Jackson', 'Nicolas Cage']"
11,George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
9587,Gillian Armstrong,"['Winona Ryder', 'Gabriel Byrne', 'Trini Alvarado']"
19101,Alfonso Cuarón,"['Liesel Matthews', 'Eleanor Bron', 'Liam Cunningham']"
49980,Ken Loach,"['Crissy Rock', 'Vladimir Vega', 'Sandie Lavelle']"
17961,Claude Chabrol,"['Emmanuelle Béart', 'François Cluzet', 'Nathalie Cardone']"
18183,Alfonso Aráu,"['Marco Leonardi', 'Lumi Cavazos', 'Regina Torné']"
4476,Edward Zwick,"['Brad Pitt', 'Anthony Hopkins', 'Aidan Quinn']"
11008,Nick Castle,"['Damon Wayans', 'Orlando Brown', 'Michael Ironside']"
47504,James Gray,"['Edward Furlong', 'Tim Roth', 'Moira Kelly']"
32325,Allison Anders,"['Angel Aviles', 'Seidy López', 'Jacob Vargas']"
43742,Glenn Gordon Caron,"['Warren Beatty', 'Annette Bening', 'Katharine Hepburn']"
28313,Stephen Gyllenhaal,"['Jessica Lange', 'Halle Berry', 'David Strathairn']"
11318,Nicholas Hytner,"['Nigel Hawthorne', 'Helen Mirren', 'Ian Holm']"
3036,Kenneth Branagh,"['Robert De Niro', 'Kenneth Branagh', 'Tom Hulce']"
40490,James Orr,"['Farrah Fawcett', 'Chevy Chase', 'Jonathan Taylor Thomas']"
24070,Nora Ephron,"['Steve Martin', 'Madeline Kahn', 'Robert Klein']"
8986,Richard Benjamin,"['Melanie Griffith', 'Ed Harris', 'Michael Patrick Carter']"
10510,Les Mayfield,"['Richard Attenborough', 'Elizabeth Perkins', 'Dylan McDermott']"
17402,David Frankel,"['Sarah Jessica Parker', 'Antonio Banderas', 'Mia Farrow']"
38722,Gregory Nava,"['Edward James Olmos', 'Jimmy Smits', 'Esai Morales']"
8438,Marc Rocco,"['Christian Slater', 'Kevin Bacon', 'Gary Oldman']"
11593,Robert Benton,"['Paul Newman', 'Bruce Willis', 'Melanie Griffith']"
1945,Michael Apted,"['Jodie Foster', 'Liam Neeson', 'Natasha Richardson']"
39310,Nick Gomez,"['Sharron Corley', 'Donald Faison', 'Christine Baranski']"
109560,Tōru Murakawa,"['Toru Nakamura', 'Chad McQueen', 'Mira Sorvino']"
56428,Vadim Jean,"['Elizabeth Hurley', 'Craig Fairbrass', 'Keith Allen']"
63105,Albert Pyun,"['Sue Price', 'Chad Stahelski', 'Tina Cote']"
131957,Alan Jacobs,"['Laura San Giacomo', ""Michael O'Keefe"", 'Paul Rhys']"
241,Oliver Stone,"['Woody Harrelson', 'Juliette Lewis', 'Robert Downey Jr.']"
9058,Norman Jewison,"['Marisa Tomei', 'Robert Downey Jr.', 'Bonnie Hunt']"
527,Lee Tamahori,"['Rena Owen', 'Temuera Morrison', 'Mamaengaroa Kerr-Bell']"
18220,Anne Goursaud,"['Alyssa Milano', 'Johnathon Schaech', 'Xander Berkeley']"
6950,Wolfgang Petersen,"['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman']"
101,Luc Besson,"['Jean Reno', 'Natalie Portman', 'Gary Oldman']"
63020,Mira Nair,"['Marisa Tomei', 'Alfred Molina', 'Anjelica Huston']"
2307,Joshua Brand,"['William Baldwin', 'John Leguizamo', 'Эрика Элениак']"
680,Quentin Tarantino,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']"
41478,Mario Van Peebles,"['Kadeem Hardison', 'Bokeem Woodbine', 'Courtney B. Vance']"
25296,Ang Lee,"['Sihung Lung', 'Wang Lai', 'Bo Z. Wang']"
40156,Antonia Bird,"['Linus Roache', 'Tom Wilkinson', 'Robert Carlyle']"
11450,Robert Redford,"['John Turturro', 'Rob Morrow', 'Ralph Fiennes']"
30304,Kayo Hatta,"['Youki Kudoh', 'Akira Takayama', 'Tamlyn Tomita']"
10452,Patrice Chéreau,"['Isabelle Adjani', 'Daniel Auteuil', 'Jean-Hugues Anglade']"
12106,Sam Raimi,"['Sharon Stone', 'Gene Hackman', 'Russell Crowe']"
161495,Peter Yates,"['Peter Falk', 'D. B. Sweeney', 'Julianne Moore']"
3586,Robert Altman,"['Marcello Mastroianni', 'Sophia Loren', 'Jean-Pierre Cassel']"
110,Krzysztof Kieślowski,"['Irène Jacob', 'Jean-Louis Trintignant', 'Jean-Pierre Lorit']"
108,Krzysztof Kieślowski,"['Juliette Binoche', 'Benoît Régent', 'Florence Pernel']"
109,Krzysztof Kieślowski,"['Zbigniew Zamachowski', 'Julie Delpy', 'Janusz Gajos']"
159185,He Ping,"['Ning Jing', 'Wu Gang']"
36357,Fred Gerber,"['Leslie Nielsen', 'Christopher Lloyd', 'Matt McCoy']"
92769,George Mihalka,"['Darlanne Fluegel', 'James Brolin', 'Martin Neufeld']"
28033,Harold Ramis,"['Al Franken', 'Laura San Giacomo', ""Vincent D'Onofrio""]"
